Review,Label,Predict_DT,Predict_RF
siu delicious staff funny enthusiastic,1,1,1
delicious food wonderful attentive staff,1,1,1
delicious food enthusiastic service delicious chicken cant fault,1,1,1
delicious food enthusiastic service friendly staff fresh air point,1,1,1
delicious food enthusiastic service cool fresh air want eat family coming best choice,1,1,1
oh food delicious cant fault service enthusiastic always smile brightly fun definitely support eat forever,1,1,1
friendly staff clean tidy restaurant great,1,1,1
clean eating utensil enthusiastic staff delicious food general everyone come try,1,1,1
friendly staff delicious food clean restaurant,1,1,1
delicious food friendly staff,1,1,1
delicious food friendly staff,1,1,1
food delicious crispy chicken fragrant service enthusiastic atmosphere ok come back eat next day,1,1,1
good food good service,1,1,1
delicious food enthusiastic staff,1,1,1
food delicious crispy chicken eaten youll want eat forever spicy chicken also delicious,1,1,1
delicious food,1,1,1
delicious food enthusiastic staff,1,1,1
delicious food enthusiastic service,1,1,1
delicious food enthusiastic service,1,1,1
delicious,1,1,1
delicious crispy hot chicken delicious pasta great service staff,1,1,1
delicious food attentive staff,1,1,1
delicious food enthusiastic service cheerful staff worth youre happy eat also delicious,1,1,1
delicious everyone eat,1,1,1
delicious food enthusiastic service need complain staff greet guest enthusiastically,1,1,1
good food good service,1,1,1
enthusiastic staff delicious food good service definitely come back,1,1,1
good service friendly staff delicious food,1,1,1
friendly staff fast service delicious food nothing complain,1,1,1
delicious food affordable price good quality,1,1,1
delicious food friendly enthusiastic staff,1,1,1
delicious enthusiastic service staff,1,1,1
delicious food clean restaurant friendly staff,1,1,1
good chicken good noodle good service,1,1,1
delicious food friendly staff,1,1,1
delicious hot crispy chicken enthusiastic friendly staff dth,1,1,1
food impeccable service always fresh cheerful welcoming,1,1,1
delicious food enthusiastic staff,1,1,1
food delicious staff super friendly come back next time,1,1,1
staff enthusiastic eaten lot quite satisfied point,1,1,1
delicious food friendly staff fragrant chicken fresh clean air,1,1,1
oh gosh delicious came back vietnam staff fancy cute really like,1,1,1
good food good service,1,1,1
good food reasonable price,1,1,1
good food good service,1,1,1
must say amazing delicious food enthusiastic service friendly staff,1,1,1
food delicious staff super enthusiastic everyone visit house,1,1,1
great delicious food friendly staff enthusiastic support comfortable space suitable age,1,1,1
eaten family many time satisfied service food every time,1,1,0
delicious food attentive staff,1,1,1
delicious food friendly enthusiastic staff reasonable price,1,1,1
fast professional service friendly staff delicious food point,1,1,1
delicious food friendly staff quick service,1,1,1
delicious food enthusiastic service staff,1,1,1
delicious food enthusiastic service friendly staff delicious crispy chicken,1,1,1
great delicious food friendly staff,1,1,1
come often every time satisfied service staff,1,1,0
enthusiastic service delicious food,1,1,1
delicious food cool space affordable price,1,1,1
delicious food enthusiastic service staff,1,1,1
delicious food enthusiastic service friendly staff fresh air vnd,1,1,1
food absolutely delicious cant fault service enthusiastic ill definitely come back eat next time,1,1,1
food absolutely delicious every time come im satisfied cant fault service also enthusiastic vnd,1,1,1
good food good service,1,1,1
enthusiastic staff delicious food airy space,1,1,1
food delicious chicken super fragrant one bite want eat staff smiling overall point,1,1,1
good service delicious food clean,1,1,1
delicious quality food enthusiastic staff customer welcomed given thoughtful advice overall rating store point,1,1,1
delicious food enthusiastic staff fun atmosphere,1,1,1
enthusiastic staff serving delicious food airy space,1,1,1
delicious food enthusiastic service friendly staff fresh air,1,1,1
great delicious food,1,1,1
delicious always eat dmmmm,1,1,1
delicious food enthusiastic service friendly staff chicken delicious cant fault,1,1,1
delicious quality meal super enthusiastic friendly staff,1,1,1
delicious food enthusiastic service,1,1,1
good service friendly staff good food quality point,1,1,1
good food good service come back,1,1,1
delicious food fun friendly staff,1,1,1
delicious food enthusiastic service staff,1,1,1
good food good staff good service,1,1,1
good comfortable using service,1,1,1
food delicious service enthusiastic impeccable taste food also fragrant,1,1,1
friendly staff delicious food,1,1,1
delicious food enthusiastic service friendly staff vnd,1,1,1
food delicious service good satisfied,1,1,1
delicious food friendly staff,1,1,1
enthusiastic service great,1,1,1
good food good service,1,1,1
food came quickly delicious extremely delicious extremely attentive staff overall satisfied come back,1,1,1
delicious good service beautiful space,1,1,1
great day eat fried chicken jlb tran phu great experience enthusiastic cheerful attitude staff cute,1,1,1
delicious food enthusiastic service,1,1,1
friendly enthusiastic lovely staff food tasty reasonable price suitable family meal friend point pretty staff great price,1,1,1
delicious food attractive hihi,1,1,1
enthusiastic staff delicious food,1,1,1
delicious food friendly enthusiastic staff dollar,1,1,1
delicious quality food enthusiastic service staff good,1,1,1
great delicious food,1,1,1
waiter cute enthusiastic view upstairs beautiful airy,1,1,1
delicious food,1,1,1
good food good service,1,1,1
big store cheat give voucher expire arrive say fixed expiration date actually gave never eat,0,1,0
enthusiastic fast polite really like living,1,1,1
good service enthusiastic staff point enough quality,1,1,1
delicious food,1,1,1
delicious food clean airy dining table suitable family child,1,1,1
good food clean come back,1,1,1
hot crispy chicken super delicious pasta everyone try,1,1,1
great delicious food attentive staff,1,1,1
delicious cheap attentive staff,1,1,1
delicious food friendly staff,1,1,1
food delicious,1,1,1
delicious food enthusiastic service fresh clean air,1,1,1
super delicious food good service,1,1,1
comfortable space delicious food enthusiastic staff come many time,1,1,1
service quite good especially employee minh trang enthusiastic cute giving shop star minh trang,1,1,1
food delicious vnd staff also smile brightly food unbelievably delicious everyone want eat go jollibee,1,1,1
food absolutely delicious cant fault sometimes get free gift,1,1,1
regular customer restaurant year feel food delicious staff enthusiastic child friendly,1,1,1
food good nv super cute,1,1,1
staff wonderful vnd enthusiasm food delicious,1,1,1
friendly staff good food,1,1,1
delicious staff super cute lovely,1,1,1
great delicious food enthusiastic fun adorable staff,1,1,1
delicious food professional service,1,1,1
good ice cream,1,1,1
delicious food friendly staff clean restaurant space,1,1,1
delicious food good service restaurant clean staff polite welcoming,1,1,1
enthusiastic staff delicious food,1,1,1
delicious,1,1,1
super delicious food friendly enthusiastic service staff mr minh trang,1,1,1
delicious food friendly staff,1,1,1
ideal place play child also family lover,1,1,0
delicious food fast service worth,1,1,1
great delicious food friendly enthusiastic service staff point,1,1,1
delicious food friendly enthusiastic service staff,1,1,1
food okay price bit high,1,1,1
super delicious food clean restaurant friendly enthusiastic service staff,1,1,1
delicious food enthusiastic staff,1,1,1
enthusiastic staff reasonable price everyone visit,1,1,1
food delicious,1,1,1
delicious food quick ordering everyone come eat,1,1,1
delicious food enthusiastic friendly staff,1,1,1
beautiful restaurant delicious food,1,1,1
satisfied quality food,1,1,1
good food clean food,1,1,1
food delicious love spicy chicken dish much,1,1,1
friendly staff delicious food overall great come back,1,1,1
delicious food,1,1,1
reputable trustworthy place brings joy whole family,1,1,0
delicious food enthusiastic service friendly staff best choice go jollibee eat,1,1,1
food delicious served great enthusiasm always delicious,1,1,1
delicious food enthusiastic service,1,1,1
food delicious staff super enthusiastic general point,1,1,1
ask garlic thigh wing cant eat white meat buy take home total piece piece drumstick im waiting see still ignore dont advise,0,1,0
delicious meal kid love,1,1,1
great food clean friendly staff,1,1,1
delicious food served need complain suitable taste,1,1,1
nice staff delicious food,1,1,1
delicious food warm friendly service good atmosphere,1,1,1
food delicious usual however pm peak dining hour staff brought chair door painted whole dining area reeked paint,1,1,1
food ok take long time staff enthusiastic still forcing space young cool,1,1,1
delicious food cute staff,1,1,1
delicious food friendly service,1,1,1
