Review,Label,Predicted_Label
every time buy take home hoang quoc viets facility buy wing thigh customer potato cold every time staff attitude super bad,0,1
make fillet delicious sauce delicious,1,1
food come quickly hot still hot enough eat deliciously chicken tender juicy soaked oil potato delicious hot crispy shrimp burger extra cheese meet requirement satisfying birthday lunch,1,1
good good experience eat often everything good,1,1
great,1,1
hot delicious food clean restaurant,1,1
fast delivery food perfect condition,1,1
delicious chicken,1,1
friendly staff,1,1
delicious food,1,1
staff nice enthusiastic,1,1
friendly staff,1,1
delicious food,1,1
delicious food enthusiastic staff food come quickly like baked egg tart,1,1
delicious food,1,1
delicious food attentive staff,1,1
eaten many time delicious cute adorable employee named duong siu eats,1,1
delicious food,1,1
food good place fried enough sweet potato fry soft bland overall boring,1,1
good employee,1,1
delicious chicken,1,1
delicious food,1,1
delicious lady extremely pretty,1,1
good delicious chicken,1,1
advantage fast service food come early lot paper towel disadvantage friable chicken tasteless chicken chicken like boiled fried chicken,1,0
clothes came quickly im satisfied,1,1
fried chicken cooked dough raw cold asked staff review work,0,1
enthusiastic service cheerful sociable staff delicious food there thing point,1,1
delicious cheap,1,1
delicious hot chicken,1,1
even though restaurant open long time service staff still enthusiastic friendly customer,1,0
crispy potato delicious spicy chicken,1,1
fast delivery chicken still hot delivered,1,0
restaurant serf attentive enthusiastic friendly customer manager good professional capacity handle situation harmoniously come eat choose reliable longterm address,1,0
staff friendly,1,1
delicious food,1,1
ok great,1,1
delicious food,1,1
delicious food enthusiastic service,1,1
friendly staff,1,1
good unit,1,1
restaurant clean staff friendly highlight booking party,1,1
delicious chicken,1,1
great experience,1,1
delicious food welcoming staff,1,1
take good care,1,1
restaurant crowded service fast,1,1
chicken flavorful lotte cozy space enthusiastic service,1,1
good,1,1
food delicious staff polite enthusiastic establishment ive ever eaten come back many time must visit place,1,1
staff enthusiastic service quick restaurant airy,1,1
good restaurant ok service attentive staff delicious food,1,1
delicious food enthusiastic service staff,1,1
guy quick sophisticated,1,1
beautiful staff,1,1
food hot delicious crispy service ok,1,1
good food enthusiastic service management fun friendly highly professional,1,1
good nothing discus,1,1
good service fast enthusiastic,1,1
shop near street easy find clean quite crowded noon close office area kfc promotion eating lunch although quite delicious,1,1
food absolutely amazing,1,1
great,1,1
delicious chicken warm gravy rice sauce,1,1
hot delicious food,1,1
food okay quite crowded weekend order take long time,0,1
tasty,1,1
delicious course ok,1,1
friendly staff good food,1,1
