Review,Label,Predicted_Label
service bad item took long time finish saw leaving without even calling pick item calling order without calling order didnt apologize anything asked general choked piece chicken,0,0
bought take home packaging staff missing item really bad,0,0
delicious clean,1,1
tiny chicken thigh ketchup rd floor dirty glass wall,0,1
many staff work slow plodding time consuming,0,1
good havent eaten yet try havent eaten yet still feel hungry,1,1
good,1,1
chicken delicious water freely available,1,1
great,1,1
clean restaurant,1,1
good food good service,1,1
friendly staff,1,1
staff member nguyen thi phuong thanh bit rude pretty ignore,0,0
establishment food poor,0,1
fine,1,1
delicious food,1,1
thing haphazardly,0,1
delicious,1,1
service bad,0,0
employee joke around speak loudly greatly affect space staff attitude good,1,1
